Comment,positive,negative,neutral
Visual,0.0,0.0,1.0
Happy,1.0,0.0,0.0
Good apps,0.744,0.0,0.256
Good luck with everything,0.747,0.0,0.253
Good,1.0,0.0,0.0
So easy,0.762,0.0,0.238
Not scicfied,0.0,0.0,1.0
Za,0.0,0.0,1.0
Good,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Good and fast ðŸ¤—ðŸ¤—ðŸ¤—ðŸ¤—ðŸ¤—ðŸ¤©,0.492,0.0,0.508
After Noon Good Day good more mornings for All good Afternoon,0.521,0.0,0.479
Awesome,1.0,0.0,0.0
Good,1.0,0.0,0.0
I accidentally posted earlier review ( which was for another app) on your page. I realised the error only once I posted. I tried deleting my review. This option seems to be not working currently. I sincerely apologize for that. Thanks for your time and patience.,0.092,0.163,0.745
Nice and promt transaction,0.483,0.0,0.517
Nice,1.0,0.0,0.0
Super,1.0,0.0,0.0
Good,1.0,0.0,0.0
Very nice,0.756,0.0,0.244
excellent,1.0,0.0,0.0
Great,1.0,0.0,0.0
Very important application ðŸ¥€ðŸ¤—ðŸ’•,0.411,0.0,0.589
Good,1.0,0.0,0.0
Super good,1.0,0.0,0.0
Good,1.0,0.0,0.0
most people are using this secure online app,0.282,0.0,0.718
Taking too much time during payment please fix it.,0.223,0.0,0.777
Very very useful,0.634,0.0,0.366
I'm not goons use your app any couse u r charging us on doing recharge Have a middle finger from my side,0.0,0.0,1.0
ðŸ˜ŽðŸ˜ŽðŸ¤˜ðŸ¤˜,0.0,0.0,1.0
Very good app,0.615,0.0,0.385
Good app.,0.744,0.0,0.256
Nbalaji,0.0,0.0,1.0
Very good,0.762,0.0,0.238
Unable to load balance,0.0,0.0,1.0
Super but please put the option Delete for our transaction Please Why it's not working it's shows your bank is not proceed this payment But at bank there's no problem please solve this from few days it's not working properly Why I trusted u but you not perfect Don't waste our time,0.25,0.182,0.568
"Now days QR code not able to loading taking so much time,ðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽFed up with this App very slow app.",0.0,0.0,1.0
Good,1.0,0.0,0.0
I will talk manager for complaint my friend's money has not received by me,0.0,0.155,0.845
Bad app,0.0,0.778,0.222
EXCELLENT...AAA+++,0.0,0.0,1.0
osm,0.0,0.0,1.0
"I have Tamilnadu circle number but it shows other circle, and deny my recharge.",0.075,0.203,0.721
Ppooop,0.0,0.0,1.0
Good app,0.744,0.0,0.256
Super,1.0,0.0,0.0
I made a transaction on 5th March 2021 through phonepe my money was deducted but still not credited to merchant account. I am unable to raise ticket on phonepe app. I want someone to immediately contact me from phonepe,0.039,0.072,0.889
I love you phonepe.,0.677,0.0,0.323
Nice app Fast payment transaction,0.412,0.0,0.588
Bbikp,0.0,0.0,1.0
Once we top up to phonepe wallet we can't transfer it back and some places it is not working,0.091,0.0,0.909
Nice,1.0,0.0,0.0
Good,1.0,0.0,0.0
Amazing,1.0,0.0,0.0
Awesome,1.0,0.0,0.0
Fantastic app,0.783,0.0,0.217
Nice nice nice nice nice nice nice nice nice nice ðŸ™‚ðŸ™‚ðŸ™‚ðŸ™‚ðŸ™‚ Happy Birthday to you ðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜€,0.864,0.0,0.136
Good,1.0,0.0,0.0
Best,1.0,0.0,0.0
Jasu,0.0,0.0,1.0
Fake,0.0,1.0,0.0
Please don't use phone pe app I have lost 10000 in my wallet misused by the phonepe team still no response from the phone pe team worst response from the customer care,0.137,0.214,0.648
It's really good and easy to use,0.56,0.0,0.44
ðŸ‘,0.0,0.0,1.0
Nice,1.0,0.0,0.0
Awesome,1.0,0.0,0.0
Good app,0.744,0.0,0.256
Good,1.0,0.0,0.0
Good,1.0,0.0,0.0
Good luck with everything going good with you,0.638,0.0,0.362
Good,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Good,1.0,0.0,0.0
Excellent,1.0,0.0,0.0
à¤…à¤šà¥à¤›à¤¾ à¤¹à¥ˆ,0.0,0.0,1.0
"Please increase transferring limit of money upto 50,000 fifty thousand",0.365,0.0,0.635
Very slow compare to gpay or paytm. Down time very high.,0.0,0.0,1.0
Good,1.0,0.0,0.0
Nice service all time,0.483,0.0,0.517
"I TINK FAST TIME LOG IN THA APP AND WON A PRISE, PLISE GIVE A PRISE",0.236,0.0,0.764
Very good app,0.615,0.0,0.385
Best app,0.808,0.0,0.192
Good,1.0,0.0,0.0
"Super, good,wonderful",0.796,0.0,0.204
I loss my money in this app the option of Phone pe wallet they not return my money to my account I loss 1000 rs though this app if they not return my money to my account I will to this report about app,0.0,0.106,0.894
Good,1.0,0.0,0.0
Love this app,0.677,0.0,0.323
ðŸ‘ŒðŸ‘ŒðŸ‘Œ,0.0,0.0,1.0
Good,1.0,0.0,0.0
Very good app,0.615,0.0,0.385
Good,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Transactions are very fast....and helpful for speed money transferâœŒ,0.278,0.0,0.722
Over the moon satisfaction,0.492,0.0,0.508
Good,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Ok,1.0,0.0,0.0
Cash back not available only offers getting,0.0,0.0,1.0
"No cashback and nothing There many more apps in the play store which are better than this , because it doesn't give you a cashback it just give scratch card which are literally useless It's worse,ðŸ™„",0.132,0.124,0.744
Osm,0.0,0.0,1.0
Puku raa puka,0.0,0.0,1.0
Very good app,0.615,0.0,0.385
Nice,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Excellent Many many thanks for the reply,0.569,0.0,0.431
Good app,0.744,0.0,0.256
very good,0.762,0.0,0.238
Very good app. For money transfers,0.39,0.0,0.61
Super aap bro,0.661,0.0,0.339
Extra money charg,0.0,0.0,1.0
Good,1.0,0.0,0.0
Usfull app,0.0,0.0,1.0
Good,1.0,0.0,0.0
superb,1.0,0.0,0.0
Proud of my india....excellent apk ....,0.383,0.0,0.617
Md shahid kapoor,0.0,0.0,1.0
