Comment,positive,negative,neutral
"cant get otp in phonepay app and not add bank in my registerd number,also my sim was proper working,",0.0,0.0,1.0
Good,1.0,0.0,0.0
Excelant,0.0,0.0,1.0
Naic epp,0.0,0.0,1.0
Vodafone k liye recharge ka option hi nhi hai... Bakvas app banayi hai.. don't use... Mandate b nahi hota..,0.0,0.0,1.0
Nice,1.0,0.0,0.0
Good,1.0,0.0,0.0
Good,1.0,0.0,0.0
Cool,1.0,0.0,0.0
Best choice of online transaction,0.512,0.0,0.488
Great,1.0,0.0,0.0
Nice app,0.737,0.0,0.263
Very fast and quickly payments,0.0,0.0,1.0
Good,1.0,0.0,0.0
Best,1.0,0.0,0.0
fast payment....!,0.0,0.0,1.0
Good app easy to use,0.659,0.0,0.341
Convenient and seamless.,0.0,0.0,1.0
OK report h,0.746,0.0,0.254
Good,1.0,0.0,0.0
Best,1.0,0.0,0.0
Hgf,0.0,0.0,1.0
Gkumar,0.0,0.0,1.0
"Very bad user interface. Earlier I used to rely on this app but at one time where the transaction needed to be done in time restraint manner, this app took almost 7 minutes to complete transaction. Very dissappointed",0.0,0.064,0.936
Ok,1.0,0.0,0.0
This is good platform for digital transactions but i think it is not safe because on my brother's number one more fake account is added without UPI pin and any credit transfer is deposited into that fake account. How that account is added God and phonepay knows.,0.156,0.202,0.642
Good,1.0,0.0,0.0
Good service,0.744,0.0,0.256
Very good,0.762,0.0,0.238
Good,1.0,0.0,0.0
Doglo se ad karana chhod de,0.0,0.0,1.0
Looting money now for reacharge 2 rupees extra we go for other methods dump app,0.0,0.167,0.833
Best app ever,0.677,0.0,0.323
Worst.I don't recommend this application to anyone. It hangs as soon as I try to open it since past 6 months. It is of no use basically doesn't even provide any cash back. Mobile's prepaid recharge option isn't working at all. in the start they provide good services but as and when time goes this application starts to hang and I'm not even able to send more than rupees 2000.I'm fed up of it. I've placed complaints lot many times but no solution was ever provided. NO STAR FOR THIS APP.,0.049,0.134,0.818
Nice,1.0,0.0,0.0
Ok,1.0,0.0,0.0
Good,1.0,0.0,0.0
Please remove this app,0.434,0.0,0.566
Its very convenient to use,0.0,0.0,1.0
So good,0.762,0.0,0.238
Phonepe is super,0.661,0.0,0.339
Very good,0.762,0.0,0.238
Vary,0.0,0.0,1.0
Good,1.0,0.0,0.0
Very good,0.762,0.0,0.238
Nothing easier than this,0.0,0.437,0.563
Awesome nd very useful ¸,0.709,0.0,0.291
Nice,1.0,0.0,0.0
Good working,0.744,0.0,0.256
Super fast,0.796,0.0,0.204
Mobile will be hanged when the time of phone pe app opened,0.0,0.0,1.0
Good,1.0,0.0,0.0
Good,1.0,0.0,0.0
Very good,0.762,0.0,0.238
Not bad,0.74,0.0,0.26
Pichley ek month sey open nahi ho paraha hai jaisey hi open khud close ho ja raha hai kai baar unistaal bhi kar chuka hun but open nahi ho raha à¤¹à¥ˆ,0.0,0.0,1.0
Nic,0.0,0.0,1.0
Super,1.0,0.0,0.0
Thank you,0.714,0.0,0.286
Very good,0.762,0.0,0.238
Good,1.0,0.0,0.0
This is very usefull,0.0,0.0,1.0
exellent,0.0,0.0,1.0
Ok,1.0,0.0,0.0
I don't like ,0.0,0.678,0.322
Nice app,0.737,0.0,0.263
"Worst wallet , you cant use it in shops , it doesnt even fetch electric bills.they charge extra for mobile recharge as well. Beware, Once we topup money on phonpe wallet our money is trapped with them.",0.05,0.18,0.769
Beautiful,1.0,0.0,0.0
If you charge 2 rupees you will loose many users everyone will shift to bank app or other app note these point,0.0,0.103,0.897
Good,1.0,0.0,0.0
Excellent,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Thanyou,0.0,0.0,1.0
Good,1.0,0.0,0.0
Yfy,0.0,0.0,1.0
Best payment app...,0.677,0.0,0.323
Superb,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Very Nice,0.756,0.0,0.244
Best aap for saving time,0.512,0.0,0.488
Mg rhi,0.0,0.0,1.0
Good,1.0,0.0,0.0
Good,1.0,0.0,0.0
Best mobile banking app,0.583,0.0,0.417
"By by phonepe, put your plateform fee in your ase, worst app . Don't be download, this app take extra charges from customer.",0.0,0.237,0.763
Excellent app,0.787,0.0,0.213
Op aap,0.0,0.0,1.0
Most safe most good too ,0.689,0.0,0.311
Nice app,0.737,0.0,0.263
Excellent,1.0,0.0,0.0
"Good working easy operate ,easy activate all is well",0.684,0.0,0.316
Super exlent,0.796,0.0,0.204
Very good,0.762,0.0,0.238
When i opened the app its opening two apps folder and one is not working when touching and another phonepe tab is working in before 2 days ago now its opening two tabs of phonepe and the two tabs also not working now and I am opening again and again also not working and at some time its working please contact me formore information,0.037,0.0,0.963
Good transfar,0.744,0.0,0.256
We can't be paid electricity bill.,0.0,0.0,1.0
Good,1.0,0.0,0.0
Very good,0.762,0.0,0.238
Good app,0.744,0.0,0.256
Nice,1.0,0.0,0.0
Nice,1.0,0.0,0.0
"Good, But I need cash back offer.",0.281,0.0,0.719
Worst app even I didn't want give 1 star also bcoz whenever I try to transfer money it's failed . Plzz fix this problem.,0.0,0.423,0.577
Super,1.0,0.0,0.0
"Worst app, not a single rupee of cash back to me or anyone in my friend circle",0.15,0.192,0.657
OK report h,0.746,0.0,0.254
Ok,1.0,0.0,0.0
Good,1.0,0.0,0.0
Very good,0.762,0.0,0.238
super,1.0,0.0,0.0
Super,1.0,0.0,0.0
Aaaaaaa aaaaaaaa,0.0,0.0,1.0
Ultimate ,0.0,0.0,1.0
Wonderful,1.0,0.0,0.0
Supar,0.0,0.0,1.0
Super,1.0,0.0,0.0
Good,1.0,0.0,0.0
Very Good Payment Platform ,0.516,0.0,0.484
V good,1.0,0.0,0.0
Nice app,0.737,0.0,0.263
Good,1.0,0.0,0.0
Good service,0.744,0.0,0.256
Nice,1.0,0.0,0.0
Ic,0.0,0.0,1.0
Very good ,0.762,0.0,0.238
Good,1.0,0.0,0.0
Good one,0.744,0.0,0.256
Op op app for me,0.0,0.0,1.0
Very good,0.762,0.0,0.238
It a. Wonderful to money transpher,0.425,0.0,0.575
Its a amazing app for all things u can..easily pay by through this app,0.25,0.092,0.658
Excellent,1.0,0.0,0.0
Superb,1.0,0.0,0.0
Goog paymenting ,0.0,0.0,1.0
Good,1.0,0.0,0.0
Oy,0.0,0.0,1.0
Best app for money transfer,0.512,0.0,0.488
Worst application other applications give paylater option but this is worst application every time,0.0,0.406,0.594
Nice,1.0,0.0,0.0
Good,1.0,0.0,0.0
Super app 1999arts,0.661,0.0,0.339
Good app,0.744,0.0,0.256
Good upi payment app,0.492,0.0,0.508
Very good app,0.615,0.0,0.385
Becoming worse than ever not able to send money and check balance every day its coming like please try after some time and could not initiate transaction..,0.15,0.097,0.752
Bank accounts are unregistered automatically sometimes,0.0,0.0,1.0
I am using so many times this app and always doing upi payment through this but now I lost my 5000 rupees I have send someone but he didn't received in their account. Worst. Return my money. I'll never use this again for payment.,0.0,0.181,0.819
Super,1.0,0.0,0.0
Very nice,0.756,0.0,0.244
Super apps,0.796,0.0,0.204
Ultimate,0.0,0.0,1.0
Ok,1.0,0.0,0.0
Very useful,0.762,0.0,0.238
Nice,1.0,0.0,0.0
Good,1.0,0.0,0.0
Useful,1.0,0.0,0.0
osam,0.0,0.0,1.0
Easy to use,0.592,0.0,0.408
Easy to operate,0.592,0.0,0.408
Op,0.0,0.0,1.0
Best or best app,0.808,0.0,0.192
Showing unable to login,0.0,0.0,1.0
Not Bad ,0.74,0.0,0.26
Ramesh.katti,0.0,0.0,1.0
Bhai,0.0,0.0,1.0
Reffer and earn amount not avilibale my acount pleese reffer and earn amount add this..,0.0,0.0,1.0
Excellent app to maintain ur bank balances and for transaction money to anywhere anytime,0.222,0.0,0.778
Very helpful to people,0.508,0.0,0.492
Good,1.0,0.0,0.0
Anyone can use. Very helpful.,0.436,0.0,0.564
Super,1.0,0.0,0.0
Super exellent,0.796,0.0,0.204
Nice app,0.737,0.0,0.263
So nice& very fast,0.0,0.0,1.0
I am very very happy,0.587,0.0,0.413
Now is good for investment in madcap market make so much easier,0.374,0.0,0.626
Nice App,0.737,0.0,0.263
good experience,0.744,0.0,0.256
Good,1.0,0.0,0.0
Time waste app,0.0,0.583,0.417
A very good app you can easily pay your amounts. Thank you phonepe!,0.471,0.079,0.45
Nice,1.0,0.0,0.0
IT IS THE FAVARATE APP BECAUSE RICHARGE,0.0,0.0,1.0
Really excellent,0.8,0.0,0.2
Opapp,0.0,0.0,1.0
Super,1.0,0.0,0.0
It's quit good,0.592,0.0,0.408
Good,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Report karo is app ko download nahi hota,0.0,0.0,1.0
Nice app,0.737,0.0,0.263
Worst,0.0,1.0,0.0
"very satisfied, highly recommend others too",0.606,0.0,0.394
Good,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Faster than google pay,0.0,0.318,0.682
"Good, helpful.",1.0,0.0,0.0
Good,1.0,0.0,0.0
NYC,0.0,0.0,1.0
nice,1.0,0.0,0.0
Sir phone pe ma mistake arhi ha not chake balance and not sand money please sir help me,0.217,0.186,0.597
Extra char kat ta he Abi bekar he phn pe,0.0,0.0,1.0
Nice.,1.0,0.0,0.0
Good,1.0,0.0,0.0
Gfc,0.0,0.0,1.0
best app and service,0.583,0.0,0.417
vjay,0.0,0.0,1.0
Allows good,0.744,0.0,0.256
Good,1.0,0.0,0.0
Nyc app,0.0,0.0,1.0
Very Fine,0.677,0.0,0.323
Reallly like you Nice app My best app in phonepe Nice very nick Good like you,0.643,0.0,0.357
Very good shop,0.615,0.0,0.385
Easy to d,0.744,0.0,0.256
Nice app.money transfee,0.583,0.0,0.417
Daliy life use,0.0,0.0,1.0
Very nice app for money transactions,0.382,0.0,0.618
MR NOOB,0.0,0.545,0.455
down,0.0,0.0,1.0
Phonepe charge our money without asking our permission 2 rupees per transaction Please take immediate action phonepe team Thankyou,0.119,0.0,0.881
Good,1.0,0.0,0.0
Achha hai,0.0,0.0,1.0
Bad,0.0,1.0,0.0
Very good,0.762,0.0,0.238
Very good,0.762,0.0,0.238
Very good app for making payments and making recharges.,0.285,0.0,0.715
Best UPI,0.808,0.0,0.192
Expansive,0.0,0.0,1.0
Nice app,0.737,0.0,0.263
Nonsense . i buy google play but i don't get .,0.199,0.216,0.585
Nice,1.0,0.0,0.0
Mobile recharge karne pr extra charge le rha uninstall kro sbhi phonepe......,0.0,0.0,1.0
very nice,0.756,0.0,0.244
Best app,0.808,0.0,0.192
Good,1.0,0.0,0.0
Online payment k liya acha h,0.0,0.0,1.0
Worst payment app ever..,0.0,0.577,0.423
Good,1.0,0.0,0.0
Good,1.0,0.0,0.0
It was great,0.672,0.0,0.328
Amazing app,0.792,0.0,0.208
HOW PREPARE THE APPS WITH ANY RESTRICTIONS WE PAYING SOMEONE ALL ARE UNNISTAL,0.0,0.0,1.0
Gcn,0.0,0.0,1.0
BD,0.0,0.0,1.0
User Friendly,0.762,0.0,0.238
Good,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Sandeep...s.l,0.0,0.0,1.0
Nice app,0.737,0.0,0.263
Good,1.0,0.0,0.0
Op00000,0.0,0.0,1.0
So good,0.762,0.0,0.238
Very very nice,0.628,0.0,0.372
A useless app that can't use the money that goes into the wallet 10 RS 20 Rs Upl pay from bank after purchasing goods? The Paytm app is very appropriate...,0.0,0.135,0.865
Good,1.0,0.0,0.0
Super,1.0,0.0,0.0
Preshan kar diya is ne koi cash reward nhi deta chalta bhi bhot slow he 2 se 3 bar to app open karna padta he,0.144,0.0,0.856
Nice,1.0,0.0,0.0
Good,1.0,0.0,0.0
Good,1.0,0.0,0.0
It is to bad,0.0,0.538,0.462
Good,1.0,0.0,0.0
Supar,0.0,0.0,1.0
Nice,1.0,0.0,0.0
It's a very good world app,0.444,0.0,0.556
Very good .,0.762,0.0,0.238
Good ,1.0,0.0,0.0
Enjoy,1.0,0.0,0.0
Nice app,0.737,0.0,0.263
Good app,0.744,0.0,0.256
Nice very nice,0.855,0.0,0.145
Ok,1.0,0.0,0.0
What is payment gateway charges,0.0,0.344,0.656
Good aap,0.744,0.0,0.256
Very good,0.762,0.0,0.238
This app is very easy and helpful for any types of payment.its osm:),0.363,0.0,0.637
Not good,0.0,0.706,0.294
B.bteja143,0.0,0.0,1.0
Good app,0.744,0.0,0.256
It's very good and easy and very comfortable,0.666,0.0,0.334
Nice,1.0,0.0,0.0
Good service & great app,0.778,0.0,0.222
Excellent,1.0,0.0,0.0
Solid and fast other apps like Google pay,0.39,0.133,0.476
Good works,0.744,0.0,0.256
Nice- very good,0.857,0.0,0.143
Good,1.0,0.0,0.0
Very use ful app,0.0,0.0,1.0
Best app,0.808,0.0,0.192
"Worest app , now the phonepay shows its real face. It asking platform fee for recharge.",0.0,0.0,1.0
Dustbins,0.0,0.0,1.0
This is app really waste,0.0,0.436,0.564
Good app,0.744,0.0,0.256
Good app money transfer,0.492,0.0,0.508
This is very helpful to me,0.382,0.0,0.618
Good,1.0,0.0,0.0
not verify my account . i have try to more time,0.0,0.0,1.0
Excellent app to pay money everyone is using phone pe.,0.282,0.107,0.611
Very good service,0.615,0.0,0.385
ðŸ‘ŒðŸ»ðŸ¤©ðŸ˜ðŸ˜ you happy birthday to sirtar to get it to me to sirtar you are you are super ðŸ‘ŒðŸ»ðŸ‘ŒðŸ»â˜• to get the car you bro and sis I love the right thing you have to be a bit late I will no you happy with you you can no you are super super bowl is the i me to get a few to you in person but you happy with you you can no you are you goin,0.222,0.068,0.71
Good,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Very good,0.762,0.0,0.238
Not god,0.0,0.645,0.355
Using the app was a way convenient till you face the term technical glitche!!! It was so horrible to deal with IPO mandate request through PHONEPE..,0.0,0.183,0.817
Very good aap,0.615,0.0,0.385
Nice,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Please uninstall the phonepay. Nowadays it take . charge on money transection.without teling. U.in other had. Its compitator.not taking any charges..for upi transection....,0.099,0.0,0.901
World best aap,0.677,0.0,0.323
R. X,0.0,0.0,1.0
Amazon pay best then given cashback per transaction,0.48,0.114,0.407
Nice,1.0,0.0,0.0
I am happy,0.787,0.0,0.213
PhonePe Vi 11 ,0.0,0.0,1.0
Happy,1.0,0.0,0.0
Katihar,0.0,0.0,1.0
Very nice,0.756,0.0,0.244
Very very nice and lam Happy ¸,0.586,0.0,0.414
Ok,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Super Good,1.0,0.0,0.0
Ok,1.0,0.0,0.0
Good thank you phone pe,0.643,0.0,0.357
Pwoliyaan,0.0,0.0,1.0
Best,1.0,0.0,0.0
Not so good,0.0,0.567,0.433
Good app,0.744,0.0,0.256
Easy to all the billings,0.42,0.0,0.58
Nice app,0.737,0.0,0.263
Its a fraud app I bought two wheeler insurance via phone pe of reliance it mention hero bike instead of Suzuki scooty . I raised an issue on phonepe they assured me to resolve the issue but they didn't resolve it and closed the complaint and mentioned resolved even nothing is resolved I lost my money and got mental harassment due to this fraud,0.2,0.192,0.608
Super,1.0,0.0,0.0
Good app,0.744,0.0,0.256
To much freezing very slow app,0.0,0.219,0.781
Good,1.0,0.0,0.0
Easy to operate,0.592,0.0,0.408
This app and degital payment through phone pe became wrost because now u have to paid 2 rs gst on every transaction.. questions from Phone pe team why other apps not take extra charge ....,0.0,0.0,1.0
superb,1.0,0.0,0.0
Server too busy,0.0,0.0,1.0
Superb,1.0,0.0,0.0
Phone upi app not installing,0.0,0.0,1.0
Nice app,0.737,0.0,0.263
Good,1.0,0.0,0.0
This really good,0.615,0.0,0.385
Uninstalling,0.0,0.0,1.0
Phone pe is the india famous upi app,0.0,0.0,1.0
Ok,1.0,0.0,0.0
Easy,1.0,0.0,0.0
good,1.0,0.0,0.0
Nice,1.0,0.0,0.0
Good app,0.744,0.0,0.256
yet to start,0.0,0.0,1.0
Nice,1.0,0.0,0.0
No issues so far,0.0,0.423,0.577
Good,1.0,0.0,0.0
I have had the most pathetic experience on the very first time that I tried to make a bill payment via phonepe. The support team takes absolutely no responsibility and continues to share canned responses. The money was debited from my account but the transaction is still under process on the app. It's been more than 2 weeks and I cannot believe that a payment could not be processed. Please refund!!! I have had enough! Edit: I have been in touch with your in-app support since the last 16 days!!!,0.09,0.074,0.837
Super faste app,0.661,0.0,0.339
Excellent,1.0,0.0,0.0
Good,1.0,0.0,0.0
Super ðŸ‘Œ,0.796,0.0,0.204
2years,0.0,0.0,1.0
"No offer, nothing.. Not at all worthy to use.",0.0,0.397,0.603
Nice,1.0,0.0,0.0
"I cannot send money to my contacts or any phone numbers as when I click on the contact tab, it is not loading, just a white blank screen appears.",0.0,0.0,1.0
Good smart,1.0,0.0,0.0
Mast,0.0,0.0,1.0
Excellent app,0.787,0.0,0.213
Love thiss app,0.677,0.0,0.323
very good,0.762,0.0,0.238
Bogas,0.0,0.0,1.0
Nice phonepe apps,0.583,0.0,0.417
Supper,0.0,0.0,1.0
Soo good,0.744,0.0,0.256
Why have they started charging?,0.0,0.0,1.0
Very easy to use,0.516,0.0,0.484
Very nice,0.756,0.0,0.244
Phonepe rent payment charges are very high by other payments app...so i unstalled phonepe bcoz its not service at minimum charges,0.0,0.189,0.811
Very good and Very Secured,0.673,0.0,0.327
Good,1.0,0.0,0.0
"I am a regular user of phone pe and i have not violated any rules and regulations but they block my account with out any reason request,no support from customer care. I request Phonepe 2 unblock my account as soon as possible because i use  phonepe  quite a lot.",0.189,0.075,0.737
Good,1.0,0.0,0.0
Good,1.0,0.0,0.0
Very nice,0.756,0.0,0.244
Good,1.0,0.0,0.0
Good,1.0,0.0,0.0
Mast app,0.0,0.0,1.0
Best app and secure you privacy,0.623,0.0,0.377
Best app,0.808,0.0,0.192
Cashback not after doing referal,0.0,0.0,1.0
Nice not reward is wast of time... Quice translation,0.219,0.234,0.547
Worst app. I just tried to pay the money to my cab after the ride. But this app just not at all loading. I thought it is the issue with bank servers but that is not the case. I did the same payment with GPAY.,0.0,0.086,0.914
Nice app in the wolud,0.412,0.0,0.588
"Why u charged extra money in recharged I deleted ur apps,you make peoples fool ðŸ˜¡",0.0,0.299,0.701
Nice,1.0,0.0,0.0
Best app,0.808,0.0,0.192
Bad service dish aap,0.0,0.538,0.462
Good almost any where I do my payment,0.326,0.0,0.674
Good,1.0,0.0,0.0
Supper,0.0,0.0,1.0
Awesome App,0.804,0.0,0.196
Phone pe Gjb app bhai,0.0,0.0,1.0
Very nice,0.756,0.0,0.244
Very important app,0.511,0.0,0.489
Love this app best epay app,0.677,0.0,0.323
